X       Y_REAL             	Predictions
500.0	8.372204041503977	8.416703224182129
520.0	8.262931395799063	8.352117538452148
540.0	8.24645770989085	8.290916442871094
560.0	8.30025343470226	8.282999038696289
580.0	8.455574775317052	8.413061141967773
600.0	8.750126773197573	8.719581604003906
620.0	9.210004258448887	9.210289001464844
640.0	9.419748790065585	9.556955337524414
660.0	8.938406333497419	9.176965713500977
680.0	8.637488628764734	8.767807006835938
700.0	8.448953534644588	8.536596298217773
720.0	8.349074031780768	8.426865577697754
740.0	8.293079563326717	8.377553939819336
760.0	8.261326877892012	8.318955421447754
780.0	8.251719962304637	8.296884536743164
800.0	8.252227827944731	8.274789810180664
