wave    real    predicted
500	8.372204074866497	5.203188419342041
520	8.262931379916239	5.307796478271484
540	8.246457607954989	5.44775915145874
560	8.300253358782234	5.602753162384033
580	8.455574822628899	5.76853609085083
600	8.750126772657124	5.936350345611572
620	9.210004186147962	5.842073917388916
640	9.419748727781526	6.0416646003723145
660	8.938406336149908	6.292452335357666
680	8.637488593840962	6.428510665893555
700	8.448953509775682	6.395980358123779
720	8.349074005730326	6.35967493057251
740	8.293079610212436	6.339931964874268
760	8.261326792949383	6.356805801391602
780	8.25171989686865	6.375021934509277
800	8.252227904966894	6.34137487411499
