wave    real    predicted
500	5.340401278203349	5.552191734313965
520	5.272923671183753	5.61717414855957
540	5.295083719674636	5.682291030883789
560	5.374758057972203	5.747523784637451
580	5.534236725895446	5.812398910522461
600	5.834030171801347	5.873884677886963
620	6.191504026456615	5.935429096221924
640	6.727782313015749	5.99791145324707
660	6.712963786616692	6.063444137573242
680	6.3150655675843215	6.129007339477539
700	6.080534893070308	6.198777675628662
720	5.972299409548494	6.2730584144592285
740	5.926571934286392	6.347358703613281
760	5.917278798032605	6.421678066253662
780	5.945919682206777	6.5037522315979
800	5.983028100338382	6.587603569030762
